ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HS00P003	HS00P004	HS00P010	HS00P011	HS00P012	HS00P014	HS00P019	HS00P025	HS00P029	HS00P034	HS00P036	HS00P040	HS00P041	HS00P042	HS00P044	HS00P045	HS00P046	HS00P047	HS00P048	HS00P050	HS00P051	HS00P055	HS00P056	HS00P057	HS00P058	HS00P059	HS00P061	HS00P063	HS00P064	HS00P068	HS00P071	HS00P072	HS00P073	HS00P074	HS00P075	HS00P077	HS00P082	HS00P93	HS00P96	HS00P109	HS00P110	HS00P118	HS00P137	HS00P142	HS00P167	HS00P176	HS00P179	HS00P192	HS00P198	HS00P201	DS00P030	DS00P037	DS00P049	DS00P054	DS00P060	DS00P065	DS00P076	DS00P119	DS00P138	DS00P140	DS00P166	DS00P172	DS00P180	DS00P191	DS00P193	DS00P194	DS00P196
ASV_58	0.264	11.015	0.728245358326407	0.872108236673176	NotSig	0.157	0.151	0.021	0.596	0.543	0.375	0.161	0.175	0.053	0.187	0.186	0.232	0.258	0.183	0.91	0.224	0.302	0.287	0.01	0.05	0	0.036	0.009	0.012	0.011	0.01	0.002	0.02	0.594	0.01	0.01	0.267	0.211	0.135	0.061	0.036	0.06	0.683	0.189	0	0.381	0.015	0.001	0.003	0.297	0	0	0	0.037	0	0.018	0	0.092	0.587	0.006	0.225	0.172	0.77	0.126	0	0	0	0	0	0	0.007	0.004	0.007	0.569
ASV_88	-0.223	12.481	0.735311621860399	0.872108236673176	NotSig	0.315	0.485	0.018	0.039	0.003	0.001	0.015	0.045	0.005	0.285	0.025	0.065	0	0.009	0.007	0.009	0.009	0.014	0.117	0.053	0.054	0.046	0.207	0.404	1.956	0.104	0.116	2.057	0.093	0.028	0.128	0.007	0.063	0.005	0.439	0.986	0.009	0.114	0.012	0.128	1.876	0.391	0.432	0.596	2.243	0.319	0.087	0.576	0.537	0.357	0.629	0.037	0.017	0.041	0.12	0.081	0.044	0.007	0.005	0.262	0.279	0.437	2.031	0.005	0.58	0.369	0.814	2.358	0.796
ASV_50	-0.29	9.541	0.746019295798488	0.872108236673176	NotSig	0.053	0.076	0.047	0.075	0.495	0.102	0	0.005	0.267	0.012	0	0.02	0.045	0.059	0.154	0.1	0.137	0.105	0	0.277	0.012	0.046	0.003	0.005	0.095	0	0.102	0	0.035	0	0	0.097	0.012	0.031	0.064	0.118	0.01	0.033	0.089	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0.613	0.022	0.019	0.019	0.543	0.03	0	0	0	0	0	0	0.001	0	0.003	0.007
ASV_6	0.27	13.59	0.746836124766208	0.872108236673176	NotSig	1.034	0.94	1.017	2.086	15.589	0.669	0.187	1.012	0.9	2.94	2.002	2.176	2.056	2.394	1.965	3.443	1.033	0.616	0.003	0.868	0.005	0.05	0.012	0.015	0.072	0.064	0.031	0.069	0.077	0.073	0.069	3.797	0.011	1.525	1.885	0.828	0.03	0.207	0.072	0.001	0.026	0.001	0.011	0.003	0.058	0	0	0.005	0.004	0.002	1.761	0.001	1.882	10.313	0.056	0.002	0.043	3.345	0.035	0	0	0	0.01	0	0.014	0.239	0	0.005	0.029
ASV_111	0.231	9.67	0.748842176167866	0.872108236673176	NotSig	0.065	0.049	0.141	0.17	0.073	0.117	0.182	0.119	0.074	0.024	0.007	0.418	0.009	0.04	0.021	0.107	0.049	0.023	0.007	0.061	0.006	0.012	0.451	0.16	0.03	0.003	0.057	0.002	0.025	0.028	0.055	0.003	0.043	0.087	0.175	0.011	0.022	0.01	0.384	0	0.027	0.023	0.004	0	0	0.005	0	0	0	0.002	0	0.001	0.213	0.023	0.051	0.036	0.062	0.001	0.012	0	0	0	0.298	0	0	0.007	0	0.001	0.133
ASV_12	0.281	12.563	0.753418950025347	0.872108236673176	NotSig	0.475	0.337	0.038	0.012	0.816	0.278	0.603	0.97	0.458	1.367	2.391	1.002	0.868	1.26	1.999	0.619	0.813	0.152	0.003	0.04	0.002	0.02	0.009	0.015	0.431	0.006	0.094	0.301	6.728	0.028	0.038	0.027	0.092	0.415	0.106	1.207	0.017	0.036	0.43	0	0	0	0.012	0.008	0.002	0	0.008	0.016	0	0	0	0	4.361	0.626	0.015	0.005	0.002	0.595	0.009	0.035	0	0.067	0.004	0	0.001	0	0	0	0.01
ASV_86	-0.3	12.587	0.766632142575452	0.881366204729601	NotSig	0.295	0.43	0	0	0.046	0.007	0.01	0.002	0	0.004	0.186	0.077	0.175	0.021	0.405	0.032	0.026	0.008	1.576	0.147	6.564	0.118	0.025	0.092	0.022	2.703	0.013	0	0	0	0	0	0.017	0.046	0.745	0.054	0.058	0.346	0.03	0.063	0	0	0	0	0	0.003	0.351	0.566	0.192	0.037	0	0	0.057	2.476	0.075	0.289	0	0.016	0	0	0.254	2.975	0.01	1.051	0	0	0.1	0	0
ASV_199	0.302	13.283	0.781942900790483	0.892894258335079	NotSig	0.407	0.42	0	0.004	0	0	0	0.009	0.026	0.006	0.023	0.002	0.025	0	0	0.018	0	0	0.002	0.044	0	0	0.009	0.005	0.182	0.057	0.042	0.002	0.018	0.026	0.039	0	0.055	0.01	0.436	0.63	0.028	0.07	0.045	0.003	2.608	0.003	0.027	14.635	0.005	0.569	0	0	0.692	0.001	0	0.001	0	0.003	0.007	0.003	0	0.04	0.009	2.355	0.619	0.004	0.003	0	3.782	0.089	0.058	0.164	0.01
ASV_209	-0.213	11.673	0.796163378670767	0.903030946277582	NotSig	0.218	0.273	0.275	0.062	0.087	0.448	0.002	0.076	0.024	0.124	0.154	2.572	0.029	0.017	0.032	0.011	0.094	0.023	0.003	0.072	0.523	0.052	4.189	0.017	0.006	0.02	0.01	0.017	0.032	0.012	0.084	0	0.055	0.234	0.186	0.036	0.045	0.47	0.035	0.017	0.022	0.075	0.135	0	0	0.001	0	0	0.454	0.004	0.072	0.005	0.193	0.062	0.022	0.126	2.391	0.01	0.02	0	0	0	0	0.002	0	1.814	0	0.003	0
ASV_57	-0.266	13.997	0.815897572275649	0.913139260241883	NotSig	0.84	1.532	0.003	0	0.019	0.001	0	0.005	0.058	0.116	0.444	1.376	0	0.002	0	0.014	0.004	0.002	0.091	0.123	0	0.297	0.043	0.003	0.013	0.003	0.016	0	0.295	0.283	37.824	0.001	0.023	0.442	0.079	0.016	0.013	0.221	0.119	0.006	0	0	0.001	0.001	0	0.005	0	0	0.035	0	0	0	0.047	0	0.152	25.02	0	0.007	0.008	0.001	0.038	0	0	0	0.134	0.096	0	0.529	0.013
ASV_235	0.159	9.748	0.816496313373365	0.913139260241883	NotSig	0.066	0.059	0.169	0.108	0.134	0.056	0.086	0.069	0.145	0.02	0.274	0.059	0.045	0.102	0.265	0.285	0.141	0.115	0.002	0.132	0.003	0.07	0	0.008	0.187	0.006	0.404	0.002	0.055	0.01	0.041	0.124	0.007	0.007	0.053	0.004	0.004	0.003	0.014	0	0.015	0.011	0.021	0	0	0.013	0	0.004	0.034	0	0	0	0.084	0.172	0.007	0	0.016	0.185	0.007	0.037	0.001	0.001	0.028	0	0.342	0.008	0	0.083	0.034
ASV_30	0.179	10.987	0.821285015128794	0.913139260241883	NotSig	0.184	0.165	0.225	0.348	0.366	0.142	0.242	0.076	0.283	0.057	0.414	0.069	0.063	0.256	1.179	0.379	1.546	2.585	0.002	0.066	0.018	0.052	0.001	0.008	0.014	0.004	0.013	0.003	0.1	0.009	0.019	0.107	0.014	0.019	0.143	0.061	0.004	0.239	0.014	0	0.003	0	0.012	0	0.003	0	0	0.012	0.005	0.019	0	0.005	0.173	2.397	0.079	0.088	0	0.01	0.014	0.001	0.003	0.008	0	0	0.003	0.003	0	0.019	0.004
ASV_107	0.202	10.061	0.831842348440084	0.91522376351251	NotSig	0.085	0.058	2.407	0.119	0.012	0.021	0.002	0.045	0.043	0	0.136	0.083	0.038	0.19	0.081	0.089	0.165	0.101	0.003	0.002	0.006	0.007	0.034	0.269	0.013	0.004	0	0	0.003	0.005	0.002	0.001	0.004	0.019	0.04	0.002	0.009	0.005	0.289	0	0.005	0	0	0	0	0	0.004	0	0	0.005	0	0	0.79	0.046	0.002	0.003	0.009	0	0.003	0	0	0	0	0.002	0	0.004	0	0	0.131
ASV_69	0.148	12.651	0.83399088509424	0.91522376351251	NotSig	0.334	0.301	0.021	0.014	0.033	0.009	0.039	0.067	0.05	0.043	0.021	0.378	0.013	0.069	0.025	0.027	0.03	0.041	0.023	0.176	0.181	0.182	0.733	1.71	0.37	0.04	0.065	0.074	0.149	0.417	0.075	0.053	0.145	0.458	0.699	0.095	0.56	0.545	0.237	0.025	0.023	2.664	2.529	0.039	0.003	0.004	3.512	0	0.004	0.016	0.005	0.001	0.04	0.085	0.191	0.676	0.122	0.005	0.355	0.01	0.244	0.327	1.152	1.559	0.089	0.149	0.009	0.076	0.022
ASV_210	-0.116	10.757	0.884008106355827	0.958968920298644	NotSig	0.106	0.136	0.006	0.003	0.028	0.006	0	0.002	0.003	0.006	0.007	0.046	0.009	0.021	0.018	0.084	0.058	0.103	0.18	0.057	0.285	0.128	0.453	0.036	0.122	0.486	0.033	0.007	0.07	0.12	0.01	0	0.043	0.376	0.08	0.111	0.01	0.005	0.01	0.004	0.314	0.02	0	0	0	0.003	0.025	0	0.026	1.818	0.066	0.001	0.005	0.003	0.026	0.132	0.206	0	0.028	0	0.001	0.047	1.679	0	0	0	0.13	0.049	0
ASV_15	-0.08	14.046	0.893240313275182	0.958968920298644	NotSig	1.147	1.329	0.056	0.105	0.044	0.038	0.233	0.151	0.067	0.14	0.069	0.16	0.025	0.088	0.074	0.096	0.075	0.127	0.65	0.2	0.209	0.222	0.804	14.479	1.421	0.405	0.592	0.341	0.354	0.357	1.697	0.267	1.329	4.843	0.54	0.45	1.412	2.6	6.705	1.19	0.431	2.74	1.784	0.054	0.003	0.64	2.503	2.422	1.774	2.247	0.101	0.059	0.062	0.103	1.803	4.919	3.042	0.011	2.776	0.666	0.137	0.341	2.371	0.203	0.496	0.068	3.142	0.481	1.97
ASV_134	-0.086	9.665	0.898661568791274	0.958968920298644	NotSig	0.062	0.058	0.015	0.109	0.052	0.248	0.044	0.111	0.042	0.024	0.097	0.267	0.09	0.38	0.242	0.107	0.058	0.047	0.01	0.334	0.009	0.037	0.025	0.032	0.018	0.024	0.013	0.002	0.185	0.009	0.002	0.08	0.067	0.034	0.034	0.001	0.032	0.161	0.046	0	0	0.003	0.003	0.004	0	0	0	0	0.014	0	0.007	0	0.072	0.038	0.095	0.019	0.239	0.102	0.021	0	0.155	0.098	0	0	0.001	0.119	0.001	0	0.018
ASV_157	0.12	11.371	0.899954981734815	0.958968920298644	NotSig	0.141	0.17	0.018	0.012	0.001	0.001	0.016	0.125	0.008	0.026	0.025	0.004	0.009	0.007	0.005	0.084	0.227	0.201	0.035	0.004	0.018	0.011	0	0.003	0.002	0	0.003	0.118	0.027	0	0	0.007	0	0	0.005	0	0.001	0	0	0.277	0.26	4.141	0	0.003	0.005	0.025	0.057	0.012	0.007	1.14	0.098	0	0	0.01	0	0.003	0.009	0	0	0.14	0.007	0.33	0.778	0.053	0	0.032	1.258	0.273	0
ASV_135	0.116	8.328	0.90222519720405	0.958968920298644	NotSig	0.022	0.019	0.018	0.065	0.121	0.041	0.005	0.019	0.01	0.026	0	0.115	0.112	0.024	0.016	0.137	0.026	0.074	0.002	0.009	0.071	0.115	0.013	0.002	0	0	0.002	0	0.027	0.002	0	0	0	0.007	0.021	0.008	0	0.025	0.001	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0.171	0.056	0.058	0.031	0.002	0	0.001	0	0	0	0	0	0	0	0	0	0
ASV_94	0.069	12.241	0.910915012562688	0.962153982019339	NotSig	0.353	0.315	0.126	0.057	0.02	0.025	0.05	0.293	0.029	0.118	0.216	0.198	0.011	0.033	0.046	0.018	0.16	0.246	0.255	0.274	0.427	0.193	0.052	2.048	0.079	0.858	0.083	0.133	0.077	3.861	0.021	0.181	0.303	0.282	0.607	0.861	0.055	0.047	1.202	0.017	0.359	2.101	0.021	0.01	0.027	0.015	0.107	0.001	0.458	0.827	0.135	0.001	0.057	0.051	0.125	0.426	1.868	0.01	0.448	0	0.062	0.768	0.336	0.661	0.001	0.032	0.104	0.095	0.315
ASV_138	-0.081	11.867	0.924904961173876	0.964475784801605	NotSig	0.213	0.214	0.02	0.026	0.125	0.012	0	0.735	0.135	0.551	0.283	0.816	0.15	1.006	0.235	0.667	0.056	0.154	0.021	0.042	1.14	0.156	0.022	0.163	0.115	0.136	0.121	0.002	1.095	0.026	0.012	0	0.003	0.174	0.008	0.006	0.009	0.013	0.012	0	0	0	0	0	0.005	0.049	1.129	0.003	0.001	0	1.242	0	0.357	0.008	0.041	0.062	0.048	0.001	1.373	0.633	0.379	0.001	0	0.002	0.736	0	0	0	0
ASV_83	-0.085	11.023	0.924914024242575	0.964475784801605	NotSig	0.181	0.131	2.426	0.393	0.046	0.57	0.005	0.48	0.211	0.5	0.012	0.489	0.256	0.531	0.332	0.589	0.49	1.347	0	0	0.006	0.047	0.006	0.015	0.019	0.004	0.022	0	0.007	0.007	0.012	0.013	0.018	0.019	0.056	0.006	0.017	0.005	0.025	0	0.027	0	0.001	0	0	0	0	0.009	0.004	0.011	0	0	2.085	0.054	0.026	0.002	0.005	0.004	0.008	0	0.007	0	0	0	0	0	0.01	0.033	0
ASV_46	-0.077	11.303	0.930234040962495	0.964475784801605	NotSig	0.177	0.255	0.721	1.564	0.254	0.236	0.598	0.1	0.148	0.464	0.03	0.446	0.312	0.396	0.108	0.436	0.898	0.242	0.454	0.193	0.107	0.039	0.07	0.031	0.019	0.014	0.008	0.012	0.374	0.014	0.012	0.197	0.045	0.097	0.034	0.008	0.121	0.052	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49	0.041	0.004	0.003	3.56	0.143	0.075	0	0	0	0.001	0	0	0	0	0.017	0.006
ASV_37	-0.034	11.728	0.964643559456451	0.994053424074026	NotSig	0.275	0.227	0.712	0.206	0.089	1.461	0.328	1.018	0.779	0.332	0.865	0.366	0.079	1.383	0.735	1.041	0.184	0.238	0.007	0.029	0.009	0.039	0.003	0.012	0.035	0	0.007	0.834	0.347	0.089	0.108	1.411	0.111	0.005	0.122	0.007	0.01	0.018	0.016	0	0.645	0	0	0	0	0	0.001	0.004	0.003	0.039	0.027	0	2.62	0.108	0.077	0.014	0	0.125	0.005	0.015	0.004	0.001	0.004	0	0.548	0.024	0.049	0.253	0.01
ASV_407	0.032	10.986	0.973613213158142	0.997215957719552	NotSig	0.129	0.123	0	0	0	0	0	0.005	0	0.057	0	0.004	0.045	0.038	0.007	0.005	0.006	0.002	0.369	0.156	0.017	0.031	0.004	0.097	0.048	4.101	0.014	0.003	0.033	0.152	0.003	0	0.001	0.005	0.035	0.001	0.015	0.559	0.021	0.573	0	0	0	0	0.009	0	0	0.003	0	0.002	0.001	0.014	0.005	0.079	0.002	0.041	0	0.026	0.007	0	0.001	1.877	0	0.002	0.01	0.02	0.007	0.004	0.004
ASV_32	-0.014	11.427	0.984106135492813	0.999295996403485	NotSig	0.218	0.246	0.021	0.104	0.221	0.297	0.381	0.502	0.498	0.09	0.792	0.16	0.114	0.123	0.615	0.925	0.214	0.099	0.003	0.053	0.005	1.436	0.004	0.01	0.106	0.03	0.312	0.008	0.057	0.019	0.019	0.281	0.169	0.053	0.471	0.675	0.021	0.008	0.04	0	0.177	0.183	0.802	0.016	0	0.059	0	0.411	0.265	0.002	0.003	0.03	0.245	1.469	0.225	0.031	0.009	0.616	0.008	0	0	0	0	0	0.001	0	0.157	0.748	0.672
ASV_22	-0.011	12.732	0.988572820758572	0.999295996403485	NotSig	0.553	0.493	2.531	0.316	0.052	0.074	0.527	0.181	0.461	0.151	0.318	0.897	0.099	0.593	0.166	0.279	0.415	0.322	0.365	0.242	0.087	0.306	2.242	0.214	0.063	0.013	0.044	0	1.038	1.064	0.575	0.034	0.288	1.079	8.877	0.059	0.571	0.048	0.185	0.068	0.941	0	0.044	0.001	0	0.018	0	0	0.03	1.697	0.072	0.012	1.047	0.092	1.271	0.146	2.817	0.004	0.051	0	0.318	0	0	0.008	0	2.491	0.001	0.005	0.137
ASV_183	0.011	9.228	0.993383002341926	0.999295996403485	NotSig	0.058	0.035	0	0	0.01	0.183	0	0	0	0	0.104	0.545	0.215	0.75	0.138	0.546	0.077	0.025	0	0.006	0.002	0.012	0	0	0.002	0	0.022	0.005	0	0	0	0	0.003	0.212	0.034	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.522	0.003	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0.015	0.046
ASV_4	0	14.424	0.99973353923221	0.99973353923221	NotSig	1.74	1.582	5.957	2.167	1.751	0.812	16.165	4.746	2.28	1.827	1.777	3.61	1.052	6.131	1.944	5.117	5.014	8.328	0.056	0.529	1.077	0.674	2.218	0.165	0.592	0.203	0.306	0.042	2.624	0.056	0.036	2.952	3.192	0.7	1.253	0.151	0.443	0.042	0.295	0	0.004	0	0.011	0.007	0.003	0.021	0	0.021	0.041	0.506	0.098	0.001	13.746	1.172	8.037	0.107	2.858	0.664	0.103	0	0.013	0.042	0.038	0.002	0.001	0.004	0	0.017	0.092
